Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 16:37:08.025,0.00,0.00,0.00,0.00
2023-11-06 16:37:08.037,0.00,0.00,0.00,0.00,
2023-11-06 16:37:09.450,0.83,-0.50,0.00,0.00,
2023-11-06 16:37:09.553,0.87,-0.53,0.00,0.00,
2023-11-06 16:37:09.655,0.87,-0.53,0.00,0.00,
2023-11-06 16:37:09.757,0.88,-0.53,0.00,0.00,
2023-11-06 16:37:09.859,1.88,-0.53,0.00,0.00,
2023-11-06 16:37:09.959,2.07,-0.53,0.00,0.00,
2023-11-06 16:37:10.064,2.06,-0.53,0.00,0.00,
2023-11-06 16:37:10.164,2.06,-0.53,0.00,0.00,
2023-11-06 16:37:10.264,2.06,-0.53,0.00,0.00,
2023-11-06 16:37:10.366,2.06,-0.53,0.00,0.00,
2023-11-06 16:37:10.470,2.06,-0.53,0.00,0.00,
2023-11-06 16:37:10.574,1.92,-0.61,0.00,0.00,
2023-11-06 16:37:10.675,2.05,0.36,0.00,0.00,
2023-11-06 16:37:10.780,2.38,1.25,0.00,0.00,
2023-11-06 16:37:10.881,2.42,1.25,0.00,0.00,
2023-11-06 16:37:10.982,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.083,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.186,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.287,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.391,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.491,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.593,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.694,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.794,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.895,2.42,1.25,0.00,0.00,
2023-11-06 16:37:11.995,2.42,1.25,0.00,0.00,
2023-11-06 16:37:12.096,2.42,1.25,0.00,0.00,
2023-11-06 16:37:12.199,2.42,1.25,0.00,0.00,
2023-11-06 16:37:12.299,2.42,1.25,0.00,0.00,
2023-11-06 16:37:12.401,1.52,0.49,0.00,0.00,
2023-11-06 16:37:12.502,0.70,-1.30,0.00,0.00,
2023-11-06 16:37:12.605,0.63,-1.60,0.00,0.00,
2023-11-06 16:37:12.708,0.63,-1.62,0.00,0.00,
2023-11-06 16:37:12.809,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:12.910,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.010,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.112,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.215,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.318,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.420,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.522,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.622,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.724,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.824,0.63,-1.61,0.00,0.00,
2023-11-06 16:37:13.925,0.63,-1.61,0.00,0.00,
